Name,Type,Location,Start date,End date,Teachers,Website
Zoe Jakes Dance Residency,Retreat,"Crete, Greece",30/08/2025,05/09/2025,Zoe Jakes,https://www.colleenashakti.com/dance-residency-with-zoe-jakes
The Fifth Dimension Festival,Festival,"Rome, Italy",30/08/2025,07/09/2025,"Tiare Valouria (USA), Rachael Redfern (UK), Olga Meos (Kazakhstan), Ida Mahin (Germany) and Valenteena Ianni (Italy)",https://www.valenteenaianni.com/thefifthdimension
House of Tarot Project,Event,"Marseille, France",09/09/2025,14/09/2025,Zoe Jakes,https://www.fusionflowfestival.com/
Tribal Bonfire Festival,Festival,"Oslo, Norway",29/08/2025,31/08/2025,"Karna May, Alexandre Guimarães, Tanja Mckenzie",https://www.thesage.no/tribal-bonfire-festival/
Gilded Raqs 2025 (ATS®/FCBD® Reunion),Festival,"San Jose, California, USA",06/09/2025,07/09/2025,"Kae Montgomery, Ma*Shuqa, Shabnam, Pixie Fordtears",https://thebellydanceguild.com/event-6136260
Moonshine Fusion Dance Festival,Festival,"Havre de Grace, Maryland, USA",13/09/2025,13/09/2025,"Katie Gordon, Jessica ""Queen Bastet"", Namiah ""Kalypso Kraken"", Donna Eileen (Salimpore imstructor)",https://starcentremd.com/event/moonshine-fusion-dance-festival-moonshine-extravaganza/
Tribal Fest in the West 2025,Festival,"Fremantle, Western Australia, Australia",03/10/2025,05/10/2025,"Sienna, Caroline",https://www.facebook.com/events/fremantle-buffalo-club-inc/tribal-fest-in-the-west-2025/2550707728599383/
Essence of Belly Dance 13,Festival,"Atlanta, Georgia, USA",25/09/2025,28/09/2025,"oxana, amy sigil",https://www.essenceofbellydance.com/
"Bellydance Evolution (BDEx) –Workshops with Jillina, Sabah & Luna",Festival,"Gijón, Spain",11/10/2025,12/10/2025,"Jillina, Sabah & Luna",https://bellydanceevolution.com
Beachfront Belly Dance Frolic 2025,Retreat,"Nags Head, North Carolina, USA",10/10/2025,11/10/2025,Chelydra  (Caravan East dance troupe),https://www.chelydra.com/beachfrolic_2025.shtml
Gothla ATL 2025,Festival,"Atlanta, Georgia, USA",15/11/2025,16/11/2025,Dark Raven aka Nazirah and Dark Fusion Dance Artist - Daewen,https://www.atlantafusiondance.com/gothla
"Tamarind Union 2025 (""Alchemy"")",Festival,"Brookfield, WI, USA",08/08/2025,11/08/2025,Moria Chappell,https://www.moriachappell.com/schedule/tamarind-union-2025/
Puerto Rico Bellydance Fusion Fest 2025,Festival,"San Juan, Puerto Rico",03/102025,05/10/2025,"Natalie Nazario, Angel Bellydance, Nercy Córdova Rodríguez",https://puertoricobellydance.com/en/
Fusion Belly Dance Festival – Budapest 2025,Festival,"Budapest, Hungary",12/06/2025,15/06/2025,"Habibi Lal, Rachael Redfern, Maffia Julieta, Joline Andrade",https://www.fusionessencebudapest.com/
Be Tribal Bellydance 2025 (10ª edición),Festival,Mexico (GhytiaStudio),26/09/2025,28/09/2025,"Tiare Valouria, Kristine Adams, Ghazani Sabah, Carolina Argueta",https://betribalbellydance.com/
Orient’Alp Festival 2026 (11ème édition),Festival,"Château-d’Oex, Switzerland",26/03/2026,29/03/2026,"Jillina Carlano, Pablo Acosta, Julia Faris, Oscar Flores",https://www.orientalp.ch/en
La Danza Debe Seguir,Festival,"Rota, Cádiz, Spain",14/11/2025,16/11/2025,"Kira Lebedeva, Lourdes Tenorio, Alla Kushnir, Tito Seif, Khader Ahmad, Sneha Mistri, Sumon Rudra, Sonia Tharani, Alex Robledo, Soleil, Jorge Guerrero, Eduardo Herrera, Rut Sánchez",https://www.ladanzadebeseguir.com/?fbclid=PAZXh0bgNhZW0CMTEAAaf8582tJb2Tpjl3WEssPmmEgw8m66sq29lX9rDFaem0_KEDuYyjWJIrCaAJZg_aem_vvcaT48w2I0h7pFvdF823A
Inner Fusion Fest,Festival,"Viseu, Portugal",10/10/2025,11/10/2025,"Sara Lyn, Kira Lebedeva",https://docs.google.com/forms/d/e/1FAIpQLSdE9IfC5KGBFaICijkVD4dJMhrloJggYeATW-PYl3Dpa9XD2A/viewform?usp=send_form
Rhythms of the Desert Tribal Fusion Dance Retreat,Retreat,"Marrakesh, Morocco",10/12/2025,15/12/2025,Kira Lebedeva,https://korasoma.com/rhythms-of-the-desert-retreat?fbclid=PAZXh0bgNhZW0CMTEAAaeGXnXpvZWAdAEDpr0Vmhi5KZdTk4JFraG13Qmi-qeHgaclAxpfWjXdRgUcbg_aem_54I73P_QUNsAyG21mJfYqA
Andromeda Tribal Fest,Festival,"Barcelona, Spain",11/04/2026,12/04/2026,Nivetha Shree,https://drive.google.com/file/d/150voVKeSd0nOWb1IjJANFN464ukrA_L0/view?fbclid=PAZXh0bgNhZW0CMTEAAadRr1J46Mm37nwpZr0XtOTlvTavWFc6vaxgg81u8CjM3DYj4BhSrLImW8o_xQ_aem_J4l1XJJrWafhd9tHfv600A
Tribal Universe Wonders of the World,Festival,"Saint Petersburg, Russia",01/11/2025,04/11/2025,"Bindu Bolar, Milana, Vika Antipova, Nadin",https://www.instagram.com/tribaluniversefestival/
AF Goa Retreat 4,Retreat,"Goa, India",23/01/2026,26/01/2026,Dipika Vijay,https://docs.google.com/forms/d/e/1FAIpQLSf21zG0p9MQpWDgRTzXm0eg5j0adwj6qHLg9N0UaQS8Yr6dkQ/viewform
Luna Tribal Event 2025,Festival,"Krakov, Poland",08/11/2025,09/11/2025,"Ethel AnimA, Valenteena Ianni",https://www.ethel-anima.com/luna-tribal-event#:~:text=NOVEMBER%208%E2%80%939%2C%202025%20,POLAND
Fantasia Festival 2026,Festival,"Conway Hall, London, UK",20/02/2026,22/02/2026,"Kamelia Mourad, Anna Chepets, Zara Dance",https://bellydance-now.com/dance/fantasia/#:~:text=Fantasia%20will%20take%20place%20over,February%20%C2%A0%E2%80%93%2022nd%20February%202026
Radiant Priestess Sacred Dance Retreat 2026,Retreat,"Bali, Indonesia",24/05/2026,31/05/2026,Aradia Sunseri,https://www.ritualmovementarts.com/retreats#:~:text=11th%20Annual%20Radiant%20Priestess%20Retreat
Ayyur Fusion Fest Marrakech 2026,Festival,"Marrakech, Morocco",15/04/2026,19/04/2026,"Laila, Lotte",https://www.instagram.com/p/DP177WWDngJ/
Tribal Saara Fusion Bellydance Festival,Festival,"Bengaluru, India",19/02/2026,22/02/2026,"Nivetha Shree, Kira Lebedeva",https://www.instagram.com/p/DPRKY7TEqTc/
