Name,Type,Location,Start date,End date,Teachers,Website
Zoe Jakes Dance Residency,Retreat,"Crete, Greece",30/08/2025,05/09/2025,Zoe Jakes,https://www.colleenashakti.com/dance-residency-with-zoe-jakes
The Fifth Dimension Festival,Festival,"Rome, Italy",30/08/2025,07/09/2025,"Tiare Valouria (USA), Rachael Redfern (UK), Olga Meos (Kazakhstan), Ida Mahin (Germany) and Valenteena Ianni (Italy)",https://www.valenteenaianni.com/thefifthdimension
House of Tarot Project,Event,"Marseille, France",09/09/2025,14/09/2025,Zoe Jakes,https://www.fusionflowfestival.com/
Tribal Bonfire Festival,Festival,"Oslo, Norway",29/08/2025,31/08/2025,"Karna May, Alexandre Guimarães, Tanja Mckenzie",https://www.thesage.no/tribal-bonfire-festival/
Gilded Raqs 2025 (ATS®/FCBD® Reunion),Festival,"San Jose, California, USA",06/09/2025,07/09/2025,"Kae Montgomery, Ma*Shuqa, Shabnam, Pixie Fordtears",https://thebellydanceguild.com/event-6136260
Moonshine Fusion Dance Festival,Festival,"Havre de Grace, Maryland, USA",13/09/2025,13/09/2025,"Katie Gordon, Jessica ""Queen Bastet"", Namiah ""Kalypso Kraken"", Donna Eileen (Salimpore imstructor)",https://starcentremd.com/event/moonshine-fusion-dance-festival-moonshine-extravaganza/
Tribal Fest in the West 2025,Festival,"Fremantle, Western Australia, Australia",03/10/2025,05/10/2025,"Sienna, Caroline",https://www.facebook.com/events/fremantle-buffalo-club-inc/tribal-fest-in-the-west-2025/2550707728599383/
Essence of Belly Dance 13,Festival,"Atlanta, Georgia, USA",25/09/2025,28/09/2025,"oxana, amy sigil",https://www.essenceofbellydance.com/
"Bellydance Evolution (BDEx) –Workshops with Jillina, Sabah & Luna",Festival,"Gijón, Spain",11/10/2025,12/10/2025,"Jillina, Sabah & Luna",https://bellydanceevolution.com/theatre-shows/gijon-2025
Beachfront Belly Dance Frolic 2025,Retreat,"Nags Head, North Carolina, USA",10/10/2025,11/10/2025,Chelydra  (Caravan East dance troupe),https://www.chelydra.com/beachfrolic_2025.shtml
Gothla ATL 2025,Festival,"Atlanta, Georgia, USA",15/11/2025,16/11/2025,Dark Raven aka Nazirah and Dark Fusion Dance Artist - Daewen,https://www.atlantafusiondance.com/gothla
"Tamarind Union 2025 (""Alchemy"")",Festival,"Brookfield, WI, USA",08/08/2025,11/08/2025,Moria Chappell,https://www.moriachappell.com/schedule/tamarind-union-2025/
Puerto Rico Bellydance Fusion Fest 2025,Festival,"San Juan, Puerto Rico",03/102025,05/10/2025,"Natalie Nazario, Angel Bellydance, Nercy Córdova Rodríguez",https://puertoricobellydance.com/en/
Fusion Belly Dance Festival – Budapest 2025,Festival,"Budapest, Hungary",12/06/2025,15/06/2025,"Habibi Lal, Rachael Redfern, Maffia Julieta, Joline Andrade",https://www.fusionessencebudapest.com/
Be Tribal Bellydance 2025 (10ª edición),Festival,Mexico (GhytiaStudio),26/09/2025,28/09/2025,"Tiare Valouria, Kristine Adams, Ghazani Sabah, Carolina Argueta",https://betribalbellydance.com/
Orient’Alp Festival 2026 (11ème édition),Festival,"Château-d’Oex, Switzerland",26/03/2026,29/03/2026,"Jillina Carlano, Pablo Acosta, Julia Faris, Oscar Flores",https://www.orientalp.ch/en
